location_category,loyalty_tier,vehicle_type,demand_profile,pricing_model,hwco_rides_30d,hwco_unit_price,hwco_duration_minutes,hwco_revenue_30d,hwco_explanation,lyft_rides_30d,lyft_unit_price,lyft_duration_minutes,lyft_revenue_30d,lyft_explanation,rec1_rides_30d,rec1_unit_price,rec1_duration_minutes,rec1_revenue_30d,rec1_explanation,rec2_rides_30d,rec2_unit_price,rec2_duration_minutes,rec2_revenue_30d,rec2_explanation,rec3_rides_30d,rec3_unit_price,rec3_duration_minutes,rec3_revenue_30d,rec3_explanation
Rural,Regular,Economy,MEDIUM,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,2.8763,31.61,3581.33,No rules applied to this segment,39.39,2.8763,31.61,3581.33,No rules applied to this segment,39.39,2.8763,31.61,3581.33,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,65.65,3.456,65.94,14960.89,No rules applied to this segment,65.65,3.456,65.94,14960.89,No rules applied to this segment,65.65,3.456,65.94,14960.89,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,55.55,3.2956,54.85,10041.42,No rules applied to this segment,55.55,3.2956,54.85,10041.42,No rules applied to this segment,55.55,3.2956,54.85,10041.42,No rules applied to this segment
Rural,Regular,Economy,MEDIUM,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,61.61,3.5218,63.42,13760.75,No rules applied to this segment,61.61,3.5218,63.42,13760.75,No rules applied to this segment,61.61,3.5218,63.42,13760.75,No rules applied to this segment
Urban,Regular,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,3.8619,42.43,6454.46,No rules applied to this segment,39.39,3.8619,42.43,6454.46,No rules applied to this segment,39.39,3.8619,42.43,6454.46,No rules applied to this segment
Suburban,Regular,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,43.43,3.8331,43.44,7231.52,No rules applied to this segment,43.43,3.8331,43.44,7231.52,No rules applied to this segment,43.43,3.8331,43.44,7231.52,No rules applied to this segment
Rural,Regular,Economy,MEDIUM,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.39,3.7292,42.56,6251.77,No rules applied to this segment,39.39,3.7292,42.56,6251.77,No rules applied to this segment,39.39,3.7292,42.56,6251.77,No rules applied to this segment
Urban,Regular,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,41.2,2.7298,37.77,4247.91,No rules applied to this segment,41.2,2.7298,37.77,4247.91,No rules applied to this segment,41.2,2.7298,37.77,4247.91,No rules applied to this segment
Suburban,Regular,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,2.7194,28.24,3009.63,No rules applied to this segment,39.19,2.7194,28.24,3009.63,No rules applied to this segment,39.19,2.7194,28.24,3009.63,No rules applied to this segment
Rural,Regular,Economy,LOW,CONTRACTED,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,33.16,2.756,23.13,2113.83,No rules applied to this segment,33.16,2.756,23.13,2113.83,No rules applied to this segment,33.16,2.756,23.13,2113.83,No rules applied to this segment
Urban,Regular,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,3.3208,47.49,7765.38,No rules applied to this segment,49.24,3.3208,47.49,7765.38,No rules applied to this segment,49.24,3.3208,47.49,7765.38,No rules applied to this segment
Suburban,Regular,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,3.5933,55.5,9819.84,No rules applied to this segment,49.24,3.5933,55.5,9819.84,No rules applied to this segment,49.24,3.5933,55.5,9819.84,No rules applied to this segment
Rural,Regular,Economy,LOW,STANDARD,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,49.24,3.1611,48.35,7525.8,No rules applied to this segment,49.24,3.1611,48.35,7525.8,No rules applied to this segment,49.24,3.1611,48.35,7525.8,No rules applied to this segment
Urban,Regular,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,3.8233,44.5,6667.66,No rules applied to this segment,39.19,3.8233,44.5,6667.66,No rules applied to this segment,39.19,3.8233,44.5,6667.66,No rules applied to this segment
Suburban,Regular,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,39.19,3.7176,39.29,5724.27,No rules applied to this segment,39.19,3.7176,39.29,5724.27,No rules applied to this segment,39.19,3.7176,39.29,5724.27,No rules applied to this segment
Rural,Regular,Economy,LOW,CUSTOM,0,0,0,0,No HWCO historical data available for this segment. Unable to establish baseline metrics.,0,0,0,0,No Lyft competitor data available for this segment. Unable to benchmark against competitor pricing.,33.16,3.1585,26.46,2771.31,No rules applied to this segment,33.16,3.1585,26.46,2771.31,No rules applied to this segment,33.16,3.1585,26.46,2771.31,No rules applied to this segment
